City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Bluff,NZ,-46.6,168.3333,54.0,67,51,5.01,broken clouds
1,Bengkulu,ID,-3.8004,102.2655,82.11,75,55,1.59,broken clouds
2,Atar,MR,20.5169,-13.0499,78.87,23,54,6.02,broken clouds
3,Touros,BR,-5.1989,-35.4608,73.4,94,20,4.61,few clouds
4,Paita,PE,-5.0892,-81.1144,69.4,77,91,15.61,overcast clouds
5,Ponta Do Sol,PT,32.6667,-17.1,66.2,68,20,20.71,few clouds
6,Znamenskoye,RU,57.1281,73.8282,63.64,71,98,5.91,overcast clouds
7,Aklavik,CA,68.2191,-135.0107,50.0,46,100,5.75,overcast clouds
8,Vila Franca Do Campo,PT,37.7167,-25.4333,64.4,94,75,8.05,broken clouds
9,Tura,IN,25.5198,90.2201,78.84,75,88,4.79,overcast clouds
10,Namibe,AO,-15.1961,12.1522,73.09,61,0,4.76,clear sky
11,Ushuaia,AR,-54.8,-68.3,42.8,70,20,7.0,few clouds
12,Manggar,ID,-2.8833,108.2667,85.82,69,91,11.81,overcast clouds
13,Mahebourg,MU,-20.4081,57.7,73.4,78,40,10.36,scattered clouds
14,Ures,MX,29.4333,-110.4,84.99,28,0,5.99,clear sky
15,Panaba,MX,21.2833,-88.2667,76.71,82,100,10.0,overcast clouds
16,Saldanha,ZA,-33.0117,17.9442,53.6,87,0,16.22,clear sky
17,East London,ZA,-33.0153,27.9116,64.87,78,98,18.37,overcast clouds
18,Rikitea,PF,-23.1203,-134.9692,74.55,67,100,17.92,overcast clouds
19,Banyo,CM,6.75,11.8167,65.66,88,100,0.96,overcast clouds
20,Jamestown,US,42.097,-79.2353,57.2,33,1,5.75,clear sky
21,Sibolga,ID,1.7427,98.7792,82.8,76,100,0.81,overcast clouds
22,Victoria,HK,22.2855,114.1577,88.0,78,17,10.71,few clouds
23,Correntina,BR,-13.3433,-44.6367,69.37,50,73,3.04,light rain
24,Cidreira,BR,-30.1811,-50.2056,61.25,78,5,7.02,clear sky
25,Barrow,US,71.2906,-156.7887,28.4,80,90,11.5,overcast clouds
26,Simao,CN,22.7886,100.9748,79.59,43,0,4.88,clear sky
27,Sahy,SK,48.0741,18.9495,55.0,91,100,3.0,overcast clouds
28,Khatanga,RU,71.9667,102.5,19.22,88,99,10.56,overcast clouds
29,Port Alfred,ZA,-33.5906,26.891,62.87,82,95,16.49,light rain
30,Fortuna,US,40.5982,-124.1573,55.0,93,90,11.5,overcast clouds
31,Caravelas,BR,-17.7125,-39.2481,71.17,71,93,5.84,overcast clouds
32,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.58,93,52,2.71,broken clouds
33,Adre,TD,13.4667,22.2,76.98,7,15,9.78,few clouds
34,Hinckley,GB,52.5389,-1.3761,48.99,93,0,4.61,clear sky
35,Bairiki,KI,1.3292,172.9752,87.8,70,40,14.97,scattered clouds
36,Igarka,RU,67.4667,86.5833,20.1,90,86,8.16,overcast clouds
37,Mar Del Plata,AR,-38.0023,-57.5575,57.99,87,0,4.61,clear sky
38,Mecca,SA,21.4267,39.8261,77.7,38,0,2.44,clear sky
39,Yining,CN,29.0361,114.5636,72.14,92,100,4.83,light rain
40,Atuona,PF,-9.8,-139.0333,79.57,67,7,15.84,clear sky
41,Puerto Madryn,AR,-42.7692,-65.0385,55.2,45,99,6.78,overcast clouds
42,Saskylakh,RU,71.9167,114.0833,15.35,90,100,14.7,overcast clouds
43,Fukue,JP,32.6881,128.8419,73.4,100,75,14.97,light rain
44,Port Lincoln,AU,-34.7333,135.8667,59.32,62,98,9.13,overcast clouds
45,Yellowknife,CA,62.456,-114.3525,39.2,65,75,12.66,broken clouds
46,Marsh Harbour,BS,26.5412,-77.0636,76.32,64,95,16.08,overcast clouds
47,Butaritari,KI,3.0707,172.7902,82.83,79,40,15.23,light rain
48,Gat,IL,31.61,34.7642,62.01,83,2,1.23,clear sky
49,Tasiilaq,GL,65.6145,-37.6368,28.4,64,17,3.18,few clouds
50,Naze,JP,28.3667,129.4833,82.4,83,75,17.27,broken clouds
51,Pevek,RU,69.7008,170.3133,30.22,91,75,0.65,broken clouds
52,Saint Anthony,US,45.0205,-93.218,64.0,51,1,6.91,clear sky
53,Talnakh,RU,69.4865,88.3972,18.27,91,99,4.47,light snow
54,Necochea,AR,-38.5473,-58.7368,55.24,69,100,7.94,overcast clouds
55,Koppang,NO,61.5706,11.0555,42.66,97,100,4.65,light rain
56,Saint-Philippe,RE,-21.3585,55.7679,75.2,73,75,14.97,broken clouds
57,Bethel,US,41.3712,-73.414,66.2,32,1,10.36,clear sky
58,Nipawin,CA,53.3668,-104.0009,55.4,82,90,14.97,overcast clouds
59,Vaini,TO,-21.2,-175.2,82.4,83,75,10.36,broken clouds
60,Punta Arenas,CL,-53.15,-70.9167,44.6,100,90,11.5,light rain
61,Shelburne,CA,44.0787,-80.2041,57.2,58,1,2.3,clear sky
62,Pontes E Lacerda,BR,-15.2261,-59.3353,71.8,72,83,3.04,broken clouds
63,Cape Town,ZA,-33.9258,18.4232,54.0,87,0,8.05,clear sky
64,Anori,BR,-3.7728,-61.6442,73.63,97,74,1.72,broken clouds
65,Hermanus,ZA,-34.4187,19.2345,54.0,82,100,3.0,overcast clouds
66,Avarua,CK,-21.2078,-159.775,78.8,78,75,10.36,broken clouds
67,Hasaki,JP,35.7333,140.8333,73.0,73,75,13.8,broken clouds
68,Nanortalik,GL,60.1432,-45.2371,36.14,83,11,2.01,few clouds
69,San Andres,CO,12.5847,-81.7006,81.01,78,19,15.75,few clouds
70,Longyearbyen,SJ,78.2186,15.6401,23.0,68,40,6.91,scattered clouds
71,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,80,20,11.5,few clouds
72,Qaanaaq,GL,77.484,-69.3632,32.4,76,99,6.82,overcast clouds
73,Tilichiki,RU,60.4667,166.1,32.23,87,7,3.42,clear sky
74,Kaitangata,NZ,-46.2817,169.8464,55.99,53,1,5.59,clear sky
75,Haines Junction,CA,60.7522,-137.5108,55.4,26,17,10.36,few clouds
76,Kindu,CD,-2.95,25.95,70.48,91,73,0.98,light rain
77,Lagoa,PT,39.05,-27.9833,60.82,88,100,5.23,overcast clouds
78,Provideniya,RU,64.3833,-173.3,43.74,56,10,2.93,clear sky
79,Half Moon Bay,US,37.4636,-122.4286,61.0,87,90,6.91,mist
80,Marzuq,YE,14.4,46.4667,79.34,32,7,3.98,clear sky
81,Marawi,PH,7.9986,124.2928,93.99,64,72,3.04,broken clouds
82,Brae,GB,60.3964,-1.353,46.4,93,90,4.61,overcast clouds
83,Albany,US,42.6001,-73.9662,57.99,68,100,4.85,overcast clouds
84,Itoman,JP,26.1247,127.6694,86.0,83,20,14.97,few clouds
85,Isangel,VU,-19.55,169.2667,81.54,72,11,6.53,few clouds
86,Ketchikan,US,55.3422,-131.6461,51.8,82,90,8.05,light rain
87,Kodiak,US,57.79,-152.4072,44.6,81,90,8.05,moderate rain
88,Hithadhoo,MV,-0.6,73.0833,84.56,73,100,18.19,overcast clouds
89,Tezu,IN,27.9167,96.1667,81.84,44,26,3.11,scattered clouds
90,Nikolskoye,RU,59.7035,30.7861,55.99,88,75,6.71,moderate rain
91,Coihaique,CL,-45.5752,-72.0662,44.6,81,40,6.91,scattered clouds
92,Guiyang,CN,26.5833,106.7167,66.2,68,90,8.95,overcast clouds
93,Tiksi,RU,71.6872,128.8694,31.71,92,100,6.78,overcast clouds
94,Ahipara,NZ,-35.1667,173.1667,67.15,68,2,10.65,clear sky
95,Florida,US,28.7505,-82.5001,70.0,56,1,8.05,clear sky
96,Castro,BR,-24.7911,-50.0119,50.63,93,0,3.4,clear sky
97,Mehamn,NO,71.0357,27.8492,34.56,84,100,20.22,overcast clouds
98,Srednekolymsk,RU,67.45,153.6833,38.98,73,4,9.26,clear sky
99,Ribeira Grande,PT,38.5167,-28.7,63.41,95,100,0.65,overcast clouds
100,Paldiski,EE,59.3567,24.0531,44.01,100,40,4.61,mist
101,Teya,RU,60.3778,92.6267,36.19,50,63,5.75,broken clouds
102,Hobart,AU,-42.8794,147.3294,57.2,54,40,18.41,scattered clouds
103,Clovis,US,36.8252,-119.7029,77.0,31,20,11.5,few clouds
104,Nizwa,OM,22.9333,57.5333,85.14,23,5,5.19,clear sky
105,Mantua,IT,45.1667,10.7833,57.99,82,81,1.99,broken clouds
106,Arlit,NE,18.7369,7.3853,89.71,10,0,7.49,clear sky
107,Ancud,CL,-41.8697,-73.8203,48.0,100,75,3.44,broken clouds
108,Busselton,AU,-33.65,115.3333,64.99,65,100,5.01,overcast clouds
109,Faanui,PF,-16.4833,-151.75,81.68,69,100,15.52,overcast clouds
110,Camana,PE,-16.6228,-72.7111,66.04,86,0,7.09,clear sky
111,Kapaa,US,22.0752,-159.319,78.8,61,40,19.57,scattered clouds
112,Bredasdorp,ZA,-34.5322,20.0403,51.8,87,96,6.91,overcast clouds
113,Mataura,NZ,-46.1927,168.8643,54.0,67,6,5.01,clear sky
114,Broome,US,42.2506,-75.833,60.8,31,75,4.61,broken clouds
115,Coahuayana,MX,18.7333,-103.6833,80.71,75,1,2.93,clear sky
116,Kholm,RU,59.2667,32.85,52.68,98,100,5.75,overcast clouds
117,Faya,SA,18.3851,42.4509,68.0,18,0,3.89,clear sky
118,Puerto Ayora,EC,-0.7393,-90.3518,75.0,94,16,4.0,few clouds
119,Ejura,GH,7.3856,-1.3562,72.88,96,100,1.88,light rain
120,Chuy,UY,-33.6971,-53.4616,52.02,81,100,3.74,overcast clouds
121,Gulu,UG,2.7746,32.299,63.54,96,12,4.25,few clouds
122,Katherine,AU,-14.4667,132.2667,77.0,27,3,12.66,clear sky
123,Oistins,BB,13.0667,-59.5333,80.6,61,20,24.16,few clouds
124,Port Elizabeth,ZA,-33.918,25.5701,59.0,94,90,10.36,light rain
125,Colares,PT,38.7992,-9.4469,64.99,88,81,7.52,broken clouds
126,Biak,ID,-0.9131,122.8766,81.55,79,90,7.05,overcast clouds
127,Bilma,NE,18.6853,12.9164,88.66,9,3,5.73,clear sky
128,Hofn,IS,64.2539,-15.2082,37.27,64,99,17.54,overcast clouds
129,Kuandian,CN,40.7286,124.7847,56.55,58,100,5.44,light rain
130,New Norfolk,AU,-42.7826,147.0587,57.0,75,98,10.0,overcast clouds
131,Kruisfontein,ZA,-34.0033,24.7314,57.99,94,100,1.99,light rain
132,Port Augusta,AU,-32.5,137.7667,59.0,67,90,6.91,overcast clouds
133,Georgetown,MY,5.4112,100.3354,87.01,84,20,1.14,few clouds
134,Codrington,AU,-38.2667,141.9667,56.35,73,92,18.48,overcast clouds
135,Utinga,BR,-5.8172,-35.3954,75.2,94,20,4.61,few clouds
136,Port Hardy,CA,50.6996,-127.4199,55.4,76,75,12.66,broken clouds
137,Severo-Kurilsk,RU,50.6789,156.125,42.33,67,100,14.65,overcast clouds
138,Guerrero Negro,MX,27.9769,-114.0611,60.62,74,0,18.41,clear sky
139,Kaseda,JP,31.4167,130.3167,75.2,94,75,9.22,mist
140,Gafargaon,BD,24.4333,90.5667,80.6,83,75,4.61,haze
